epoch,train_loss,train_acc,val_loss,val_acc
1,1.2622137546539307,72.08464655560559,0.41602437011897564,94.16666666666667
2,0.27648670535002434,94.50697883836109,0.12712949234992266,97.91666666666667
3,0.10662356732147081,98.15398469158036,0.06417359865736216,98.33333333333333
4,0.05599431668275169,99.0094552003602,0.042862455011345446,98.75
5,0.04054151426202485,99.14452949122017,0.04136478150030598,98.33333333333333
6,0.033187238586002164,99.32462854570014,0.026450789300724864,99.58333333333333
7,0.020211223256774248,99.72985141828005,0.033314408821752295,98.75
8,0.015863222309521266,99.86492570914002,0.028750425786711276,98.33333333333333
9,0.016619262559938112,99.68482665466006,0.020751932985149324,99.16666666666667
10,0.01700385154025363,99.68482665466006,0.02052269986597821,99.16666666666667
