epoch,train_loss,train_acc,val_loss,val_acc
1,0.9695182397961617,80.36920306168393,0.5407384894788265,91.25
2,0.1579754694764103,97.20846465556056,0.22217370197176933,92.91666666666667
3,0.06204272678920201,98.9644304367402,0.12902627233415842,96.25
4,0.036838163907772725,99.18955425484016,0.1023443773156032,97.5
5,0.025955933006480338,99.45970283656011,0.10071138525381684,97.08333333333333
6,0.020052039122674614,99.45970283656011,0.09037749088020064,97.08333333333333
7,0.015896364251550818,99.72985141828005,0.07645192160271108,97.91666666666667
8,0.01337997933317508,99.86492570914002,0.061829753627534956,97.5
9,0.012335642726559725,99.77487618190004,0.048175660049309954,99.16666666666667
10,0.005396747427792953,99.95497523638001,0.037950876794639044,99.16666666666667
