epoch,train_loss,train_acc,val_loss,val_acc
1,1.1002737245389393,76.40702386312472,0.4409993700683117,93.75
2,0.20313374368207796,96.44304367402071,0.15753220324404538,95.83333333333333
3,0.07608143061931644,98.82935614588024,0.10067897161934525,97.08333333333333
4,0.04798560456505844,98.9644304367402,0.06948538264259696,98.33333333333333
5,0.03108472712337971,99.23457901846015,0.0663526396965608,98.75
6,0.026855775953403542,99.45970283656011,0.07535200304118916,98.75
7,0.01648643466510943,99.77487618190004,0.05599706876091659,98.33333333333333
8,0.013673133136970656,99.63980189104007,0.0635148222791031,97.5
9,0.012120685979191746,99.86492570914002,0.07776047110382933,97.08333333333333
10,0.011204118166850614,99.72985141828005,0.04754191336542135,98.33333333333333
