epoch,train_loss,train_acc,val_loss,val_acc
1,1.2073646238871982,73.93066186402521,0.42170001938939095,93.33333333333333
2,0.23450447427374976,96.44304367402071,0.13657768722623587,97.5
3,0.0861558780606304,98.37910850968032,0.08352297090459615,97.91666666666667
4,0.050371243631733315,98.9644304367402,0.04777281900169328,99.16666666666667
5,0.03665924794705851,99.18955425484016,0.03657386510167271,98.75
6,0.028199447940901987,99.27960378208014,0.03392441864707507,98.75
7,0.024045213551393576,99.41467807294012,0.028918536962009966,98.75
8,0.01855149353588266,99.63980189104007,0.025410037400433794,99.16666666666667
9,0.012468735235077993,99.86492570914002,0.02782076460425742,98.75
10,0.01187718318376158,99.72985141828005,0.02010341707500629,99.58333333333333
