filepath,class_name,source
dataset_synthetic\train\eiffel_tower\00039-1984749092.png,eiffel_tower,synthetic
dataset_real\train\christ_the_reedemer\8fa0f7585a.jpg,christ_the_reedemer,real
dataset_real\train\statue_of_liberty\49f04e072e.jpg,statue_of_liberty,real
dataset_real\train\chichen_itza\28006c09b3.jpg,chichen_itza,real
dataset_real\train\chichen_itza\7eb994d484.jpg,chichen_itza,real
dataset_synthetic\train\christ_the_reedemer\00198-4094071624.png,christ_the_reedemer,synthetic
dataset_synthetic\train\pyramids_of_giza\00155-2205670331.png,pyramids_of_giza,synthetic
dataset_real\train\chichen_itza\efc02d7aec.jpg,chichen_itza,real
dataset_synthetic\train\chichen_itza\00260-1829905845.png,chichen_itza,synthetic
dataset_synthetic\train\burj_khalifa\00167-2778414634.png,burj_khalifa,synthetic
dataset_synthetic\train\eiffel_tower\00266-1566552047.png,eiffel_tower,synthetic
dataset_synthetic\train\great_wall_of_china\00295-1383148747.png,great_wall_of_china,synthetic
dataset_synthetic\train\eiffel_tower\00274-162160935.png,eiffel_tower,synthetic
dataset_synthetic\train\chichen_itza\00268-1829905853.png,chichen_itza,synthetic
dataset_synthetic\train\burj_khalifa\00293-2716773644.png,burj_khalifa,synthetic
dataset_synthetic\train\chichen_itza\00213-4190620850.png,chichen_itza,synthetic
dataset_synthetic\train\chichen_itza\00191-1342241946.png,chichen_itza,synthetic
dataset_real\train\great_wall_of_china\df705d67b6.jpg,great_wall_of_china,real
dataset_real\train\pyramids_of_giza\a8813ba16f.jpg,pyramids_of_giza,real
dataset_synthetic\train\great_wall_of_china\00008-1860489308.png,great_wall_of_china,synthetic
dataset_real\train\pyramids_of_giza\dc718a4bb6.jpg,pyramids_of_giza,real
dataset_synthetic\train\roman_colosseum\00149-1009224247.png,roman_colosseum,synthetic
dataset_real\train\chichen_itza\092bf1cec3.jpg,chichen_itza,real
dataset_synthetic\train\roman_colosseum\00235-1225658213.png,roman_colosseum,synthetic
dataset_real\train\pyramids_of_giza\059228ac99.jpg,pyramids_of_giza,real
dataset_real\train\chichen_itza\cca15cb57e.jpg,chichen_itza,real
dataset_synthetic\train\roman_colosseum\00166-1009224264.png,roman_colosseum,synthetic
dataset_synthetic\train\roman_colosseum\00121-4069228223.png,roman_colosseum,synthetic
dataset_real\train\eiffel_tower\c68b7093da.jpg,eiffel_tower,real
dataset_synthetic\train\eiffel_tower\00181-45903227.png,eiffel_tower,synthetic
dataset_synthetic\train\great_wall_of_china\00151-1607761931.png,great_wall_of_china,synthetic
dataset_synthetic\train\christ_the_reedemer\00082-2389616902.png,christ_the_reedemer,synthetic
dataset_synthetic\train\chichen_itza\00105-3888410416.png,chichen_itza,synthetic
dataset_real\train\chichen_itza\8ba971db31.jpg,chichen_itza,real
dataset_real\train\eiffel_tower\0e70c2acf7.jpg,eiffel_tower,real
dataset_synthetic\train\great_wall_of_china\00131-2449295034.png,great_wall_of_china,synthetic
dataset_synthetic\train\statue_of_liberty\00577-3964871326.png,statue_of_liberty,synthetic
dataset_synthetic\train\burj_khalifa\00091-4109332459.png,burj_khalifa,synthetic
dataset_synthetic\train\burj_khalifa\00165-2778414632.png,burj_khalifa,synthetic
dataset_synthetic\train\burj_khalifa\00146-1813382834.png,burj_khalifa,synthetic
dataset_synthetic\train\eiffel_tower\00129-70550500.png,eiffel_tower,synthetic
dataset_synthetic\train\chichen_itza\00200-1342241955.png,chichen_itza,synthetic
dataset_synthetic\train\eiffel_tower\00231-2386103706.png,eiffel_tower,synthetic
dataset_synthetic\train\great_wall_of_china\00051-1177815140.png,great_wall_of_china,synthetic
dataset_real\train\statue_of_liberty\9a1f6db96a.jpg,statue_of_liberty,real
dataset_real\train\christ_the_reedemer\1664dfaedc.jpg,christ_the_reedemer,real
dataset_real\train\christ_the_reedemer\83922f1936.jpg,christ_the_reedemer,real
dataset_synthetic\train\roman_colosseum\00045-2283819994.png,roman_colosseum,synthetic
dataset_synthetic\train\roman_colosseum\00296-241878751.png,roman_colosseum,synthetic
dataset_real\train\chichen_itza\6e2fb6b730.jpg,chichen_itza,real
dataset_real\train\eiffel_tower\df813f0329.jpg,eiffel_tower,real
dataset_synthetic\train\chichen_itza\00111-3888410422.png,chichen_itza,synthetic
dataset_synthetic\train\roman_colosseum\00168-1009224266.png,roman_colosseum,synthetic
dataset_synthetic\train\roman_colosseum\00234-1225658212.png,roman_colosseum,synthetic
dataset_synthetic\train\christ_the_reedemer\00174-4094071600.png,christ_the_reedemer,synthetic
dataset_real\train\burj_khalifa\4597b268ec.jpg,burj_khalifa,real
dataset_real\train\chichen_itza\a61fcc9809.jpg,chichen_itza,real
dataset_synthetic\train\great_wall_of_china\00060-2389887056.png,great_wall_of_china,synthetic
dataset_real\train\burj_khalifa\0fff5c5959.jpg,burj_khalifa,real
dataset_synthetic\train\eiffel_tower\00240-1566552021.png,eiffel_tower,synthetic
dataset_synthetic\train\statue_of_liberty\00462-818305465.png,statue_of_liberty,synthetic
dataset_synthetic\train\chichen_itza\00021-354526608.png,chichen_itza,synthetic
dataset_synthetic\train\christ_the_reedemer\00038-3006335901.png,christ_the_reedemer,synthetic
dataset_synthetic\train\statue_of_liberty\00511-1791252953.png,statue_of_liberty,synthetic
dataset_synthetic\train\burj_khalifa\00282-2716773633.png,burj_khalifa,synthetic
dataset_synthetic\train\eiffel_tower\00280-162160941.png,eiffel_tower,synthetic
dataset_synthetic\train\roman_colosseum\00293-241878748.png,roman_colosseum,synthetic
dataset_synthetic\train\great_wall_of_china\00270-1383148722.png,great_wall_of_china,synthetic
dataset_real\train\burj_khalifa\aab32734e6.jpg,burj_khalifa,real
dataset_synthetic\train\pyramids_of_giza\00085-2984508837.png,pyramids_of_giza,synthetic
dataset_real\train\great_wall_of_china\1c37035bff.jpg,great_wall_of_china,real
dataset_real\train\roman_colosseum\3d25f5a0fb.jpg,roman_colosseum,real
dataset_synthetic\train\great_wall_of_china\00113-920026944.png,great_wall_of_china,synthetic
dataset_real\train\great_wall_of_china\c837739262.jpg,great_wall_of_china,real
dataset_synthetic\train\eiffel_tower\00278-162160939.png,eiffel_tower,synthetic
dataset_synthetic\train\pyramids_of_giza\00273-39524418.png,pyramids_of_giza,synthetic
dataset_synthetic\train\chichen_itza\00212-4190620849.png,chichen_itza,synthetic
dataset_real\train\christ_the_reedemer\6d8a037055.jpg,christ_the_reedemer,real
dataset_synthetic\train\statue_of_liberty\00514-1791252956.png,statue_of_liberty,synthetic
dataset_synthetic\train\pyramids_of_giza\00250-3340261360.png,pyramids_of_giza,synthetic
dataset_real\train\eiffel_tower\e36e0774e1.jpg,eiffel_tower,real
dataset_real\train\eiffel_tower\0970ee8661.jpg,eiffel_tower,real
dataset_synthetic\train\pyramids_of_giza\00196-4087309975.png,pyramids_of_giza,synthetic
dataset_synthetic\train\eiffel_tower\00052-1984749105.png,eiffel_tower,synthetic
dataset_synthetic\train\roman_colosseum\00033-2283819982.png,roman_colosseum,synthetic
dataset_synthetic\train\burj_khalifa\00287-2716773638.png,burj_khalifa,synthetic
dataset_synthetic\train\eiffel_tower\00099-3388316044.png,eiffel_tower,synthetic
dataset_synthetic\train\burj_khalifa\00011-2682522064.png,burj_khalifa,synthetic
dataset_synthetic\train\burj_khalifa\00190-2688549098.png,burj_khalifa,synthetic
dataset_synthetic\train\pyramids_of_giza\00119-942607777.png,pyramids_of_giza,synthetic
dataset_real\train\statue_of_liberty\0655b9736b.jpg,statue_of_liberty,real
dataset_synthetic\train\pyramids_of_giza\00200-4087309979.png,pyramids_of_giza,synthetic
dataset_synthetic\train\christ_the_reedemer\00123-3552515817.png,christ_the_reedemer,synthetic
dataset_real\train\christ_the_reedemer\b2b6be0971.jpg,christ_the_reedemer,real
dataset_synthetic\train\roman_colosseum\00065-1525667155.png,roman_colosseum,synthetic
dataset_synthetic\train\eiffel_tower\00048-1984749101.png,eiffel_tower,synthetic
dataset_synthetic\train\roman_colosseum\00028-3704602093.png,roman_colosseum,synthetic
dataset_synthetic\train\eiffel_tower\00284-162160945.png,eiffel_tower,synthetic
dataset_synthetic\train\burj_khalifa\00156-2778414623.png,burj_khalifa,synthetic
dataset_synthetic\train\eiffel_tower\00229-2386103704.png,eiffel_tower,synthetic
dataset_synthetic\train\burj_khalifa\00028-2682522081.png,burj_khalifa,synthetic
dataset_synthetic\train\burj_khalifa\00016-2682522069.png,burj_khalifa,synthetic
dataset_synthetic\train\christ_the_reedemer\00150-423565288.png,christ_the_reedemer,synthetic
dataset_synthetic\train\eiffel_tower\00168-1848933967.png,eiffel_tower,synthetic
dataset_synthetic\train\roman_colosseum\00049-2283819998.png,roman_colosseum,synthetic
dataset_synthetic\train\roman_colosseum\00270-241878725.png,roman_colosseum,synthetic
dataset_synthetic\train\pyramids_of_giza\00234-3159135373.png,pyramids_of_giza,synthetic
dataset_real\train\christ_the_reedemer\774632e09f.jpg,christ_the_reedemer,real
dataset_real\train\chichen_itza\e22119068d.jpg,chichen_itza,real
dataset_real\train\pyramids_of_giza\1a5213bc99.jpg,pyramids_of_giza,real
dataset_synthetic\train\great_wall_of_china\00020-1860489320.png,great_wall_of_china,synthetic
dataset_synthetic\train\eiffel_tower\00287-162160948.png,eiffel_tower,synthetic
dataset_synthetic\train\great_wall_of_china\00189-2026541297.png,great_wall_of_china,synthetic
dataset_synthetic\train\great_wall_of_china\00218-4011577233.png,great_wall_of_china,synthetic
dataset_real\train\chichen_itza\858e542a0d.jpg,chichen_itza,real
dataset_real\train\great_wall_of_china\feefda42b1.jpg,great_wall_of_china,real
dataset_real\train\christ_the_reedemer\31a69a5597.jpg,christ_the_reedemer,real
dataset_synthetic\train\eiffel_tower\00293-162160954.png,eiffel_tower,synthetic
dataset_synthetic\train\statue_of_liberty\00574-3964871323.png,statue_of_liberty,synthetic
dataset_synthetic\train\great_wall_of_china\00162-1607761942.png,great_wall_of_china,synthetic
dataset_synthetic\train\christ_the_reedemer\00262-3045517125.png,christ_the_reedemer,synthetic
dataset_synthetic\train\chichen_itza\00026-354526613.png,chichen_itza,synthetic
dataset_real\train\pyramids_of_giza\f59c392c70.jpg,pyramids_of_giza,real
dataset_real\train\great_wall_of_china\ca00f6fe94.jpg,great_wall_of_china,real
dataset_synthetic\train\statue_of_liberty\00584-3964871333.png,statue_of_liberty,synthetic
dataset_synthetic\train\eiffel_tower\00119-3388316064.png,eiffel_tower,synthetic
dataset_synthetic\train\burj_khalifa\00147-1813382835.png,burj_khalifa,synthetic
dataset_real\train\christ_the_reedemer\0159a932dc.jpg,christ_the_reedemer,real
dataset_synthetic\train\pyramids_of_giza\00080-2984508832.png,pyramids_of_giza,synthetic
dataset_synthetic\train\great_wall_of_china\00159-1607761939.png,great_wall_of_china,synthetic
dataset_synthetic\train\eiffel_tower\00111-3388316056.png,eiffel_tower,synthetic
dataset_real\train\roman_colosseum\1c521d546e.jpg,roman_colosseum,real
dataset_synthetic\train\statue_of_liberty\00619-4055323056.png,statue_of_liberty,synthetic
dataset_synthetic\train\burj_khalifa\00259-2863073469.png,burj_khalifa,synthetic
dataset_synthetic\train\chichen_itza\00230-4190620867.png,chichen_itza,synthetic
dataset_synthetic\train\eiffel_tower\00107-3388316052.png,eiffel_tower,synthetic
dataset_synthetic\train\statue_of_liberty\00615-4055323052.png,statue_of_liberty,synthetic
dataset_synthetic\train\christ_the_reedemer\00042-3006335905.png,christ_the_reedemer,synthetic
dataset_synthetic\train\statue_of_liberty\00640-2648309718.png,statue_of_liberty,synthetic
dataset_synthetic\train\great_wall_of_china\00139-2449295042.png,great_wall_of_china,synthetic
dataset_synthetic\train\christ_the_reedemer\00110-2389616930.png,christ_the_reedemer,synthetic
dataset_real\train\eiffel_tower\7219545b14.jpg,eiffel_tower,real
dataset_synthetic\train\eiffel_tower\00102-3388316047.png,eiffel_tower,synthetic
dataset_synthetic\train\christ_the_reedemer\00297-2284744746.png,christ_the_reedemer,synthetic
dataset_synthetic\train\chichen_itza\00157-1856050869.png,chichen_itza,synthetic
dataset_real\train\eiffel_tower\5bf0ec8641.jpg,eiffel_tower,real
dataset_synthetic\train\great_wall_of_china\00119-920026950.png,great_wall_of_china,synthetic
dataset_synthetic\train\roman_colosseum\00156-1009224254.png,roman_colosseum,synthetic
dataset_synthetic\train\roman_colosseum\00105-2343411952.png,roman_colosseum,synthetic
dataset_synthetic\train\eiffel_tower\00065-2409094499.png,eiffel_tower,synthetic
dataset_synthetic\train\great_wall_of_china\00278-1383148730.png,great_wall_of_china,synthetic
dataset_synthetic\train\burj_khalifa\00155-2778414622.png,burj_khalifa,synthetic
dataset_real\train\great_wall_of_china\dd3c569511.jpg,great_wall_of_china,real
dataset_synthetic\train\burj_khalifa\00297-2716773648.png,burj_khalifa,synthetic
dataset_synthetic\train\chichen_itza\00054-2669227208.png,chichen_itza,synthetic
