image_id,file_name,class_name,split,source
1,0005487c0b.jpg,burj_khalifa,train,real
2,00d4a42317.jpg,burj_khalifa,train,real
3,01f75e9545.jpg,burj_khalifa,train,real
4,020f2c752c.jpg,burj_khalifa,train,real
5,0305f7ae7d.jpg,burj_khalifa,train,real
6,04d516ea7d.jpg,burj_khalifa,train,real
7,04ecd64815.jpg,burj_khalifa,train,real
8,05168ad704.jpg,burj_khalifa,train,real
9,053b092881.jpg,burj_khalifa,train,real
10,0584420541.jpg,burj_khalifa,train,real
11,05a99296d0.jpg,burj_khalifa,train,real
12,066f9aec57.jpg,burj_khalifa,train,real
13,0676bc5d63.jpg,burj_khalifa,train,real
14,08c7c677a9.jpg,burj_khalifa,train,real
15,096c418030.jpg,burj_khalifa,train,real
16,096e9abf57.jpg,burj_khalifa,train,real
17,0acec17a29.jpg,burj_khalifa,train,real
18,0b43bb429b.jpg,burj_khalifa,train,real
19,0b738f98bb.jpg,burj_khalifa,train,real
20,0fd307e2fe.jpg,burj_khalifa,train,real
21,0fff5c5959.jpg,burj_khalifa,train,real
22,1152feeac0.jpg,burj_khalifa,train,real
23,124b6d2856.jpg,burj_khalifa,train,real
24,1461ce3074.jpg,burj_khalifa,train,real
25,1543ad4d7c.jpg,burj_khalifa,train,real
26,15fc2d4645.jpg,burj_khalifa,train,real
27,16a5e9b12a.jpg,burj_khalifa,train,real
28,18d0e3276e.jpg,burj_khalifa,train,real
29,194c0c33c1.jpg,burj_khalifa,train,real
30,1973b3cb71.jpg,burj_khalifa,train,real
31,19b08575e1.jpg,burj_khalifa,train,real
32,1a67bd317b.jpg,burj_khalifa,train,real
33,1a81fe9ecb.jpg,burj_khalifa,train,real
34,1a8bec2b8d.jpg,burj_khalifa,train,real
35,1c772f558f.jpg,burj_khalifa,train,real
36,1d33e68a48.jpg,burj_khalifa,train,real
37,1d4da83ee3.jpg,burj_khalifa,train,real
38,1e906e0e39.jpg,burj_khalifa,train,real
39,203a8a413a.jpg,burj_khalifa,train,real
40,208f7bd86a.jpg,burj_khalifa,train,real
41,2240fed2dd.jpg,burj_khalifa,train,real
42,237a706017.jpg,burj_khalifa,train,real
43,237bcae843.jpg,burj_khalifa,train,real
44,23a03674d4.jpg,burj_khalifa,train,real
45,248edd395c.jpg,burj_khalifa,train,real
46,24a32bc937.jpg,burj_khalifa,train,real
