filepath,class_name,source
dataset_real\train\eiffel_tower\188c8949c6.jpg,eiffel_tower,real
dataset_synthetic\train\roman_colosseum\00037-2283819986.png,roman_colosseum,synthetic
dataset_real\train\roman_colosseum\dd9536dab9.jpg,roman_colosseum,real
dataset_real\train\burj_khalifa\b4b4aa5aee.jpg,burj_khalifa,real
dataset_synthetic\train\chichen_itza\00062-2079455155.png,chichen_itza,synthetic
dataset_real\train\eiffel_tower\0bc691cbcc.jpg,eiffel_tower,real
dataset_synthetic\train\pyramids_of_giza\00144-962878682.png,pyramids_of_giza,synthetic
dataset_real\train\eiffel_tower\0170656bec.jpg,eiffel_tower,real
dataset_real\train\burj_khalifa\9bc46b05fc.jpg,burj_khalifa,real
dataset_real\train\eiffel_tower\4e8267c0ad.jpg,eiffel_tower,real
dataset_real\train\chichen_itza\4e33f0793d.jpg,chichen_itza,real
dataset_real\train\burj_khalifa\db0f0e8be5.jpg,burj_khalifa,real
dataset_real\train\statue_of_liberty\d5fa3d4e58.jpg,statue_of_liberty,real
dataset_synthetic\train\pyramids_of_giza\00056-2054659959.png,pyramids_of_giza,synthetic
dataset_real\train\burj_khalifa\3736b34793.jpg,burj_khalifa,real
dataset_real\train\pyramids_of_giza\986c1179a0.jpg,pyramids_of_giza,real
dataset_real\train\roman_colosseum\6c6dc19be1.jpg,roman_colosseum,real
dataset_real\train\eiffel_tower\d13b95f24a.jpg,eiffel_tower,real
dataset_synthetic\train\burj_khalifa\00253-2863073463.png,burj_khalifa,synthetic
dataset_real\train\chichen_itza\d17ddfd954.jpg,chichen_itza,real
dataset_real\train\pyramids_of_giza\6f0c28269c.jpg,pyramids_of_giza,real
dataset_real\train\chichen_itza\63b812f73c.jpg,chichen_itza,real
dataset_real\train\chichen_itza\334efed51e.jpg,chichen_itza,real
dataset_real\train\statue_of_liberty\0655b9736b.jpg,statue_of_liberty,real
dataset_synthetic\train\pyramids_of_giza\00034-2054659937.png,pyramids_of_giza,synthetic
dataset_real\train\christ_the_reedemer\c67ff43f6c.jpg,christ_the_reedemer,real
dataset_real\train\chichen_itza\c97cf15a24.jpg,chichen_itza,real
dataset_synthetic\train\pyramids_of_giza\00205-4087309984.png,pyramids_of_giza,synthetic
dataset_real\train\great_wall_of_china\0b7d1f2f82.jpg,great_wall_of_china,real
dataset_real\train\eiffel_tower\5cb98fa219.jpg,eiffel_tower,real
dataset_real\train\statue_of_liberty\f2a31ab33f.jpg,statue_of_liberty,real
dataset_real\train\burj_khalifa\4c290d10e5.jpg,burj_khalifa,real
dataset_synthetic\train\christ_the_reedemer\00157-423565295.png,christ_the_reedemer,synthetic
dataset_real\train\roman_colosseum\a902bfb110.jpg,roman_colosseum,real
dataset_real\train\great_wall_of_china\8a62b87c5c.jpg,great_wall_of_china,real
dataset_synthetic\train\statue_of_liberty\00653-2648309731.png,statue_of_liberty,synthetic
dataset_real\train\chichen_itza\0164d69c35.jpg,chichen_itza,real
dataset_real\train\chichen_itza\a03575ebe2.jpg,chichen_itza,real
dataset_real\train\pyramids_of_giza\e7526b29c1.jpg,pyramids_of_giza,real
dataset_real\train\chichen_itza\3ea368371f.jpg,chichen_itza,real
dataset_real\train\eiffel_tower\9edc4a25d9.jpg,eiffel_tower,real
dataset_real\train\roman_colosseum\6234acc22a.jpg,roman_colosseum,real
dataset_real\train\pyramids_of_giza\f74283c372.jpg,pyramids_of_giza,real
dataset_real\train\chichen_itza\d3c9c67ecb.jpg,chichen_itza,real
dataset_real\train\eiffel_tower\5f213e2db5.jpg,eiffel_tower,real
dataset_real\train\eiffel_tower\3fad3a8e5a.jpg,eiffel_tower,real
dataset_real\train\christ_the_reedemer\b3feb7dd1a.jpg,christ_the_reedemer,real
dataset_real\train\statue_of_liberty\418cb5ba07.jpg,statue_of_liberty,real
dataset_real\train\chichen_itza\45de7c16c9.jpg,chichen_itza,real
dataset_real\train\eiffel_tower\5886f0fdcf.jpg,eiffel_tower,real
dataset_real\train\roman_colosseum\48a21f1a59.jpg,roman_colosseum,real
dataset_synthetic\train\burj_khalifa\00183-2688549091.png,burj_khalifa,synthetic
dataset_real\train\great_wall_of_china\45584d4fa5.jpg,great_wall_of_china,real
dataset_real\train\chichen_itza\4cfc94e3d3.jpg,chichen_itza,real
dataset_real\train\christ_the_reedemer\6c32f5b030.jpg,christ_the_reedemer,real
dataset_real\train\pyramids_of_giza\ca8c63f498.jpg,pyramids_of_giza,real
dataset_real\train\statue_of_liberty\458b90a76d.jpg,statue_of_liberty,real
dataset_real\train\burj_khalifa\97029103de.jpg,burj_khalifa,real
dataset_real\train\eiffel_tower\d48ebfe991.jpg,eiffel_tower,real
dataset_real\train\burj_khalifa\2bf04632bc.jpg,burj_khalifa,real
dataset_real\train\eiffel_tower\c9797cd9c2.jpg,eiffel_tower,real
dataset_real\train\christ_the_reedemer\10d04f4650.jpg,christ_the_reedemer,real
dataset_synthetic\train\pyramids_of_giza\00033-2054659936.png,pyramids_of_giza,synthetic
dataset_real\train\roman_colosseum\b128bdc433.jpg,roman_colosseum,real
dataset_real\train\pyramids_of_giza\9447c79bd7.jpg,pyramids_of_giza,real
dataset_synthetic\train\eiffel_tower\00179-1848933978.png,eiffel_tower,synthetic
dataset_real\train\statue_of_liberty\cddc1a1f11.jpg,statue_of_liberty,real
dataset_real\train\christ_the_reedemer\72cb559ead.jpg,christ_the_reedemer,real
dataset_synthetic\train\chichen_itza\00049-2669227203.png,chichen_itza,synthetic
dataset_real\train\great_wall_of_china\af10103055.jpg,great_wall_of_china,real
dataset_real\train\burj_khalifa\a62155b4fb.jpg,burj_khalifa,real
dataset_real\train\eiffel_tower\afad9031c8.jpg,eiffel_tower,real
dataset_synthetic\train\christ_the_reedemer\00080-2397697065.png,christ_the_reedemer,synthetic
dataset_real\train\statue_of_liberty\848d66d5ad.jpg,statue_of_liberty,real
dataset_real\train\burj_khalifa\84853b9816.jpg,burj_khalifa,real
dataset_real\train\pyramids_of_giza\af544fe76d.jpg,pyramids_of_giza,real
dataset_synthetic\train\statue_of_liberty\00577-3964871326.png,statue_of_liberty,synthetic
dataset_real\train\burj_khalifa\1a67bd317b.jpg,burj_khalifa,real
dataset_real\train\statue_of_liberty\e5c6d87fe1.jpg,statue_of_liberty,real
dataset_real\train\pyramids_of_giza\7f1f29ff35.jpg,pyramids_of_giza,real
dataset_real\train\chichen_itza\c5983a99b9.jpg,chichen_itza,real
dataset_real\train\great_wall_of_china\77f8019298.jpg,great_wall_of_china,real
dataset_synthetic\train\great_wall_of_china\00205-2026541313.png,great_wall_of_china,synthetic
dataset_real\train\roman_colosseum\365fa20052.jpg,roman_colosseum,real
dataset_real\train\christ_the_reedemer\81285cdbd1.jpg,christ_the_reedemer,real
dataset_synthetic\train\great_wall_of_china\00121-2449295024.png,great_wall_of_china,synthetic
dataset_real\train\statue_of_liberty\5b9e47f634.jpg,statue_of_liberty,real
