filepath,class_name,source
dataset_real\train\chichen_itza\a03575ebe2.jpg,chichen_itza,real
dataset_real\train\eiffel_tower\0e70c2acf7.jpg,eiffel_tower,real
dataset_real\train\christ_the_reedemer\80c46f30a7.jpg,christ_the_reedemer,real
dataset_real\train\pyramids_of_giza\ebaea6c9d8.jpg,pyramids_of_giza,real
dataset_real\train\great_wall_of_china\343302f215.jpg,great_wall_of_china,real
dataset_real\train\statue_of_liberty\f39ad405a9.jpg,statue_of_liberty,real
dataset_real\train\burj_khalifa\f950da0d2f.jpg,burj_khalifa,real
dataset_real\train\roman_colosseum\fcde040fe7.jpg,roman_colosseum,real
dataset_real\train\eiffel_tower\8fc4938a9d.jpg,eiffel_tower,real
dataset_real\train\christ_the_reedemer\b3109baff8.jpg,christ_the_reedemer,real
dataset_real\train\great_wall_of_china\887dd90649.jpg,great_wall_of_china,real
dataset_real\train\burj_khalifa\3636892765.jpg,burj_khalifa,real
dataset_real\train\roman_colosseum\4341b0adbc.jpg,roman_colosseum,real
dataset_real\train\christ_the_reedemer\233d10e52d.jpg,christ_the_reedemer,real
dataset_real\train\burj_khalifa\bf2b351508.jpg,burj_khalifa,real
dataset_real\train\eiffel_tower\56a8ec7d31.jpg,eiffel_tower,real
dataset_real\train\eiffel_tower\1e66e436ff.jpg,eiffel_tower,real
dataset_real\train\great_wall_of_china\f8305672c5.jpg,great_wall_of_china,real
dataset_real\train\eiffel_tower\57102ee349.jpg,eiffel_tower,real
dataset_real\train\christ_the_reedemer\d07a4ca091.jpg,christ_the_reedemer,real
dataset_real\train\burj_khalifa\357b6f2ddd.jpg,burj_khalifa,real
dataset_real\train\great_wall_of_china\b84e0e0e54.jpg,great_wall_of_china,real
dataset_real\train\burj_khalifa\b67773fb09.jpg,burj_khalifa,real
dataset_real\train\roman_colosseum\f38d824b91.jpg,roman_colosseum,real
dataset_real\train\roman_colosseum\69696fb973.jpg,roman_colosseum,real
dataset_real\train\roman_colosseum\55e3eaa506.jpg,roman_colosseum,real
dataset_real\train\eiffel_tower\ee13954adb.jpg,eiffel_tower,real
dataset_real\train\pyramids_of_giza\1a5213bc99.jpg,pyramids_of_giza,real
dataset_real\train\burj_khalifa\d5e2057fff.jpg,burj_khalifa,real
dataset_real\train\pyramids_of_giza\854422f42d.jpg,pyramids_of_giza,real
dataset_real\train\pyramids_of_giza\831bdf3771.jpg,pyramids_of_giza,real
dataset_real\train\burj_khalifa\5d3ef1f668.jpg,burj_khalifa,real
dataset_real\train\christ_the_reedemer\a4cc5736ba.jpg,christ_the_reedemer,real
dataset_real\train\burj_khalifa\e924f29394.jpg,burj_khalifa,real
dataset_real\train\eiffel_tower\c0b3592514.jpg,eiffel_tower,real
dataset_real\train\pyramids_of_giza\ca85e5aa49.jpg,pyramids_of_giza,real
dataset_real\train\statue_of_liberty\c1897d27a3.jpg,statue_of_liberty,real
dataset_real\train\roman_colosseum\18cec97c8a.jpg,roman_colosseum,real
dataset_real\train\pyramids_of_giza\7027442590.jpg,pyramids_of_giza,real
dataset_real\train\burj_khalifa\bdc93badbf.jpg,burj_khalifa,real
dataset_real\train\christ_the_reedemer\d0d8f236eb.jpg,christ_the_reedemer,real
dataset_real\train\eiffel_tower\8c5a028087.jpg,eiffel_tower,real
dataset_real\train\roman_colosseum\c6c8a3ca37.jpg,roman_colosseum,real
dataset_real\train\eiffel_tower\b6e6ae6e60.jpg,eiffel_tower,real
dataset_real\train\chichen_itza\0b04a8cbfe.jpg,chichen_itza,real
dataset_real\train\burj_khalifa\05a99296d0.jpg,burj_khalifa,real
dataset_real\train\christ_the_reedemer\f87c1ba0c0.jpg,christ_the_reedemer,real
dataset_real\train\chichen_itza\b7f89e4db2.jpg,chichen_itza,real
dataset_real\train\roman_colosseum\d7eb23578c.jpg,roman_colosseum,real
dataset_real\train\great_wall_of_china\89abc80782.jpg,great_wall_of_china,real
dataset_real\train\pyramids_of_giza\f3a698aca2.jpg,pyramids_of_giza,real
dataset_real\train\eiffel_tower\97a1dda21e.jpg,eiffel_tower,real
dataset_real\train\statue_of_liberty\685ab81537.jpg,statue_of_liberty,real
dataset_real\train\burj_khalifa\3a800dfcd5.jpg,burj_khalifa,real
dataset_real\train\roman_colosseum\81ea15a675.jpg,roman_colosseum,real
dataset_real\train\great_wall_of_china\ee0986001f.jpg,great_wall_of_china,real
dataset_real\train\pyramids_of_giza\3245b570ba.jpg,pyramids_of_giza,real
dataset_real\train\eiffel_tower\d143e7a939.jpg,eiffel_tower,real
dataset_real\train\eiffel_tower\7c54bb12d6.jpg,eiffel_tower,real
dataset_real\train\chichen_itza\f3914f1067.jpg,chichen_itza,real
dataset_real\train\christ_the_reedemer\22951b7757.jpg,christ_the_reedemer,real
dataset_real\train\roman_colosseum\390d9b0dbe.jpg,roman_colosseum,real
dataset_real\train\roman_colosseum\c90c9b771a.jpg,roman_colosseum,real
dataset_real\train\eiffel_tower\3a36573e15.jpg,eiffel_tower,real
dataset_real\train\burj_khalifa\db39498828.jpg,burj_khalifa,real
dataset_real\train\roman_colosseum\311a4531de.jpg,roman_colosseum,real
dataset_real\train\burj_khalifa\cee569860e.jpg,burj_khalifa,real
dataset_real\train\great_wall_of_china\5735a9a170.jpg,great_wall_of_china,real
dataset_real\train\roman_colosseum\293b851c52.jpg,roman_colosseum,real
dataset_real\train\burj_khalifa\b4b4aa5aee.jpg,burj_khalifa,real
dataset_real\train\pyramids_of_giza\af661ea8f6.jpg,pyramids_of_giza,real
dataset_real\train\eiffel_tower\2a4680b7b0.jpg,eiffel_tower,real
dataset_real\train\christ_the_reedemer\d4c7b8d9ab.jpg,christ_the_reedemer,real
dataset_real\train\roman_colosseum\4ac533865b.jpg,roman_colosseum,real
dataset_real\train\christ_the_reedemer\a788563b46.jpg,christ_the_reedemer,real
dataset_real\train\pyramids_of_giza\09b385af40.jpg,pyramids_of_giza,real
dataset_real\train\chichen_itza\77dc6ac0b0.jpg,chichen_itza,real
dataset_real\train\chichen_itza\24c3388b1d.jpg,chichen_itza,real
dataset_real\train\christ_the_reedemer\62f953fe53.jpg,christ_the_reedemer,real
dataset_real\train\burj_khalifa\6a034e67d5.jpg,burj_khalifa,real
dataset_real\train\statue_of_liberty\3d9965659b.jpg,statue_of_liberty,real
dataset_real\train\pyramids_of_giza\58341d2d7e.jpg,pyramids_of_giza,real
dataset_real\train\chichen_itza\7cc766d3bc.jpg,chichen_itza,real
dataset_real\train\burj_khalifa\b4271b8179.jpg,burj_khalifa,real
dataset_real\train\pyramids_of_giza\3715e538d8.jpg,pyramids_of_giza,real
dataset_real\train\chichen_itza\e65a25495e.jpg,chichen_itza,real
dataset_real\train\statue_of_liberty\d741f85251.jpg,statue_of_liberty,real
dataset_real\train\great_wall_of_china\0c257b5375.jpg,great_wall_of_china,real
dataset_real\train\roman_colosseum\bbad4b35e3.jpg,roman_colosseum,real
dataset_real\train\roman_colosseum\44ca1517f1.jpg,roman_colosseum,real
dataset_real\train\chichen_itza\d8b97f7b24.jpg,chichen_itza,real
dataset_real\train\eiffel_tower\c3d97f9ab1.jpg,eiffel_tower,real
dataset_real\train\statue_of_liberty\65546d77bc.jpg,statue_of_liberty,real
dataset_real\train\chichen_itza\7fe03ffb4d.jpg,chichen_itza,real
dataset_real\train\pyramids_of_giza\cf4a0d0558.jpg,pyramids_of_giza,real
dataset_real\train\eiffel_tower\ce07cbee0c.jpg,eiffel_tower,real
dataset_real\train\pyramids_of_giza\df900c69dd.jpg,pyramids_of_giza,real
dataset_real\train\chichen_itza\1ec5bc38aa.jpg,chichen_itza,real
dataset_real\train\christ_the_reedemer\185baab42c.jpg,christ_the_reedemer,real
dataset_real\train\eiffel_tower\83edf16aa6.jpg,eiffel_tower,real
dataset_real\train\great_wall_of_china\044c6b5c92.jpg,great_wall_of_china,real
dataset_real\train\pyramids_of_giza\5906f3dbb9.jpg,pyramids_of_giza,real
dataset_real\train\chichen_itza\534775f0d0.jpg,chichen_itza,real
dataset_real\train\burj_khalifa\a26f1c6687.jpg,burj_khalifa,real
dataset_real\train\pyramids_of_giza\73a40a627b.jpg,pyramids_of_giza,real
dataset_real\train\roman_colosseum\67b35379d2.jpg,roman_colosseum,real
dataset_real\train\pyramids_of_giza\167b54d62c.jpg,pyramids_of_giza,real
dataset_real\train\pyramids_of_giza\b75a4d6a72.jpg,pyramids_of_giza,real
dataset_real\train\pyramids_of_giza\9c27d4184a.jpg,pyramids_of_giza,real
dataset_real\train\great_wall_of_china\7faff79242.jpg,great_wall_of_china,real
dataset_real\train\chichen_itza\908f8bf9f9.jpg,chichen_itza,real
dataset_real\train\christ_the_reedemer\06ed855b8f.jpg,christ_the_reedemer,real
dataset_real\train\christ_the_reedemer\8b13a6c1e7.jpg,christ_the_reedemer,real
dataset_real\train\great_wall_of_china\94b375e8d9.jpg,great_wall_of_china,real
