filepath,class_name,source
dataset_synthetic\train\roman_colosseum\00202-1974243521.png,roman_colosseum,synthetic
dataset_synthetic\train\burj_khalifa\00012-2682522065.png,burj_khalifa,synthetic
dataset_synthetic\train\burj_khalifa\00188-2688549096.png,burj_khalifa,synthetic
dataset_synthetic\train\pyramids_of_giza\00270-39524415.png,pyramids_of_giza,synthetic
dataset_synthetic\train\eiffel_tower\00033-1984749086.png,eiffel_tower,synthetic
dataset_synthetic\train\roman_colosseum\00059-1525667149.png,roman_colosseum,synthetic
dataset_synthetic\train\statue_of_liberty\00556-3937903700.png,statue_of_liberty,synthetic
dataset_synthetic\train\great_wall_of_china\00163-1607761943.png,great_wall_of_china,synthetic
dataset_synthetic\train\christ_the_reedemer\00130-3552515824.png,christ_the_reedemer,synthetic
dataset_synthetic\train\eiffel_tower\00215-2386103690.png,eiffel_tower,synthetic
dataset_synthetic\train\eiffel_tower\00031-1984749084.png,eiffel_tower,synthetic
dataset_synthetic\train\roman_colosseum\00231-1225658209.png,roman_colosseum,synthetic
dataset_synthetic\train\great_wall_of_china\00132-2449295035.png,great_wall_of_china,synthetic
dataset_synthetic\train\roman_colosseum\00056-2283820005.png,roman_colosseum,synthetic
dataset_synthetic\train\great_wall_of_china\00291-1383148743.png,great_wall_of_china,synthetic
dataset_synthetic\train\great_wall_of_china\00254-4085978420.png,great_wall_of_china,synthetic
dataset_synthetic\train\burj_khalifa\00224-2852982628.png,burj_khalifa,synthetic
dataset_synthetic\train\pyramids_of_giza\00026-4241466222.png,pyramids_of_giza,synthetic
dataset_synthetic\train\roman_colosseum\00023-3704602088.png,roman_colosseum,synthetic
dataset_synthetic\train\chichen_itza\00226-4190620863.png,chichen_itza,synthetic
dataset_synthetic\train\burj_khalifa\00103-4109332471.png,burj_khalifa,synthetic
dataset_synthetic\train\burj_khalifa\00272-2716773623.png,burj_khalifa,synthetic
dataset_synthetic\train\christ_the_reedemer\00123-3552515817.png,christ_the_reedemer,synthetic
dataset_synthetic\train\christ_the_reedemer\00070-2397697055.png,christ_the_reedemer,synthetic
dataset_synthetic\train\christ_the_reedemer\00221-1121221012.png,christ_the_reedemer,synthetic
dataset_synthetic\train\roman_colosseum\00210-1225658188.png,roman_colosseum,synthetic
dataset_synthetic\train\statue_of_liberty\00608-4055323045.png,statue_of_liberty,synthetic
dataset_synthetic\train\chichen_itza\00202-1342241957.png,chichen_itza,synthetic
dataset_synthetic\train\roman_colosseum\00249-1881496544.png,roman_colosseum,synthetic
dataset_synthetic\train\christ_the_reedemer\00110-2389616930.png,christ_the_reedemer,synthetic
dataset_synthetic\train\burj_khalifa\00024-2682522077.png,burj_khalifa,synthetic
dataset_synthetic\train\great_wall_of_china\00222-4011577237.png,great_wall_of_china,synthetic
dataset_synthetic\train\pyramids_of_giza\00151-2205670327.png,pyramids_of_giza,synthetic
dataset_synthetic\train\burj_khalifa\00029-2682522082.png,burj_khalifa,synthetic
dataset_synthetic\train\burj_khalifa\00182-2688549090.png,burj_khalifa,synthetic
dataset_synthetic\train\roman_colosseum\00040-2283819989.png,roman_colosseum,synthetic
dataset_synthetic\train\chichen_itza\00009-354526596.png,chichen_itza,synthetic
dataset_synthetic\train\roman_colosseum\00121-4069228223.png,roman_colosseum,synthetic
dataset_synthetic\train\chichen_itza\00013-817939088.png,chichen_itza,synthetic
dataset_synthetic\train\eiffel_tower\00171-1848933970.png,eiffel_tower,synthetic
dataset_synthetic\train\burj_khalifa\00261-2863073471.png,burj_khalifa,synthetic
dataset_synthetic\train\great_wall_of_china\00144-2449295047.png,great_wall_of_china,synthetic
dataset_synthetic\train\chichen_itza\00192-1342241947.png,chichen_itza,synthetic
dataset_synthetic\train\christ_the_reedemer\00262-3045517125.png,christ_the_reedemer,synthetic
dataset_synthetic\train\eiffel_tower\00124-70550495.png,eiffel_tower,synthetic
dataset_synthetic\train\pyramids_of_giza\00058-2054659961.png,pyramids_of_giza,synthetic
dataset_synthetic\train\roman_colosseum\00261-1881496556.png,roman_colosseum,synthetic
dataset_synthetic\train\statue_of_liberty\00513-1791252955.png,statue_of_liberty,synthetic
dataset_synthetic\train\roman_colosseum\00030-2283819979.png,roman_colosseum,synthetic
dataset_synthetic\train\roman_colosseum\00142-4069228244.png,roman_colosseum,synthetic
dataset_synthetic\train\eiffel_tower\00191-45903237.png,eiffel_tower,synthetic
dataset_synthetic\train\burj_khalifa\00183-2688549091.png,burj_khalifa,synthetic
dataset_synthetic\train\great_wall_of_china\00290-1383148742.png,great_wall_of_china,synthetic
dataset_synthetic\train\christ_the_reedemer\00259-2017116375.png,christ_the_reedemer,synthetic
dataset_synthetic\train\eiffel_tower\00264-1566552045.png,eiffel_tower,synthetic
dataset_synthetic\train\chichen_itza\00020-354526607.png,chichen_itza,synthetic
dataset_synthetic\train\christ_the_reedemer\00283-3045517146.png,christ_the_reedemer,synthetic
dataset_synthetic\train\pyramids_of_giza\00188-4087309967.png,pyramids_of_giza,synthetic
